index,selector,name,short_name,id_number,director,img
76,g501,"JSC ""RESEARCH AND PRODUCTION CORPORATION
""KONSTRUKTORSKOYE BYURO MASHYNOSTROYENIYA""",Konstruktorskoye Byuro Mashynostroyeniya,5022039177,Pitikov Sergej Viktorovich,PITIKOV_Sergey.jpg
77,g497,"JSC ""INSTRUMENT DESIGN BYURO NAMED AFTER ACADEMIC A. G. SHIPUNOV""",Konstruktorskoe Byuro Priborostroeniya,7105514574,Konoplev Dmitrij Vladimirovich Before 22.07.2022,Konoplev_Dmitrij.jpg
78,g483,"JSC ""DESIGN BYURO OF PRECISION ENGINEERING NAMED AFTER A.E. NUDELMAN""",Konstruktorskoe Byuro Tochnogo Mashinostroeniya,7728789425,Ibragimov Dmitrij Maratovich,IBRAGIMOV_DMITRIJ.jpg
79,g493,"PJSC ""KURGANSKIJ MASHINOSTROITELNYJ ZAVOD""",Kurganmashzavod,4501008142,Tyukov Petr Aleksandrovich,Tyukov_Petr.jpg
80,g171,"JSC ""AVTOMOBILNIJ ZAVOD ""URAL""","Avtomobilnij Zavod ""Ural""",7415029289,Yakovlev Pavel Aleksandrovich,Yakovlev_Pavel.jpg
81,g589,"JSC ""CONCERN ""SOZVEZDIE""",Sozvezdie,3666127502,Artemov Mihail Leonidovich,ARTEMOV_MIHAIL.jpg
82,g49,"Ltd ""SCIENTIFIC AND PRODUCTION ASSOCIATION ""IZHEVSKIE BESPILOTNYE SISTEMY""",Zhevskie Bespilotnye Sistemy,1831117433,Zorin Andrej Vasilevich,ZORIN_Andrey.jpeg
83,g317,"Ltd ""VOLGOGRAD MACHINE-BUILDING COMPANY ""VGTZ""",Volgograd Machine-Building Company ,3441023695,Bolotin Mihail Grigorevich,Bolotin_Mihail.jpg
84,g593,"JSC ""REMDYZEL""",Remdyzel,1650004741,Zaharov Aleksandr Vladimirovich,ZAHAROV_ALEKSANDR_V.jpg
85,g35,"JSC ""KAZANSKIJ OPTIKO-MEHANICHESKIJ ZAVOD""",Kazanskij Optiko-Mehanicheskij Zavod,1660004229,Maksimov Vadim Valerevich,MAKSIMOV_VADIM.jpg
