index,selector,name,short_name,id_number,director,img
79,g493,"ПАТ ""КУРГАНСЬКИЙ МАШИНОБУДІВНИЙ ЗАВОД""",КУРГАНМАШЗАВОД,4501008142,"Тюков Петро
Олександрович",Tyukov_Petr.jpg
80,g171,"АТ ""АВТОМОБІЛЬНИЙ ЗАВОД ""УРАЛ""","АВТОЗАВОД ""УРАЛ""",7415029289,Яковлєв Павло Олександрович,Yakovlev_Pavel.jpg
81,g589,"АТ ""КОНЦЕРН ""СУЗІР'Я""",СУЗІР'Я,3666127502,"Артемов Михайло
Леонідович",ARTEMOV_MIHAIL.jpg
82,g49,"ТОВ ""НАУКОВО-ВИРОБНИЧЕ ОБ'ЄДНАННЯ ""ІЖЕВСЬКІ БЕЗПІЛОТНІ СИСТЕМИ""",ІЖЕВСЬКІ БЕЗПІЛОТНІ СИСТЕМИ,1831117433,Зорін Андрій Васильович,ZORIN_Andrey.jpeg
83,g317,"ТОВ ""ВОЛГОГРАДСЬКА МАШИНОБУДІВНА КОМПАНІЯ ""ВГТЗ""",ВОЛГОГРАДСЬКИЙ ТРАКТОРНИЙ ЗАВОД,3441023695,"Болотін Михайло
Григорович",Bolotin_Mihail.jpg
84,g593,"АТ ""РЕМДИЗЕЛЬ""",РЕМДИЗЕЛЬ,1650004741,Захаров Олександр Володимирович,ZAHAROV_ALEKSANDR_V.jpg
85,g35,"АТ ""КАЗАНСЬКИЙ ОПТИКО-МЕХАНІЧНИЙ ЗАВОД""",КАЗАНСЬКИЙ ОПТИКО-МЕХАНІЧНИЙ ЗАВОД,1660004229,Максімов Вадим Валерійович,MAKSIMOV_VADIM.jpg
86,g423,"ФІЛІЯ АТ ""АВІАЦІЙНА ХОЛДИНГОВА КОМПАНІЯ ""СУХИЙ"" – КОМСОМОЛЬСЬКИЙ-НА-АМУРІ АВІАЦІЙНИЙ ЗАВОД ІМЕНІ Ю. О. ГАГАРІНА"" ",КОМСОМОЛЬСЬКИЙ-НА-АМУРІ АВІАЦІЙНИЙ ЗАВОД,7740000090,"Пекарш Олександр
Іванович",PEKARSH_ALEKSANDR.jpg
87,g419,"ФІЛІЯ АТ ""АВІАЦІЙНА ХОЛДИНГОВА КОМПАНІЯ ""СУХИЙ"" – ""НОВОСИБІРСЬКИЙ АВІАЦІЙНИЙ ЗАВОД ІМЕНІ В. П. ЧКАЛОВА""",НОВОСИБІРСЬКИЙ АВІАЦІЙНИЙ ЗАВОД,7740000090,"Смірнов Сергій
Олександрович",SMIRNOV_Sergej.jpg
88,g405,"ЗАТ ""СПЕЦІАЛЬНЕ КОНСТРУКТОРСЬКЕ БЮРО""",СПЕЦІАЛЬНЕ КОНСТРУКТОРСЬКЕ БЮРО,5906034720,Калінін Віктор Олександрович,KALININ_Viktor.jpg
89,g1053,"АТ ""АРЗАМАСЬКИЙ МАШИНОБУДІВНИЙ ЗАВОД""",АРЗАМАСЬКИЙ МАШИНОБУДІВНИЙ ЗАВОД,5243001767,"
Красовицький Олександр Володимирович",KRASOVITSKY_Alexander.jpg
90,g1027,"ТОВ ""КОМЕРЦІЙНІ АВТОМОБІЛІ - ГРУПА ГАЗ""",ГРУПА ГАЗ,5256051148,Сорокін Вадим Миколайович,SOROKIN_VADIM.jpeg
91,g175,"ЗАТ ""ЗАВОЛЖСЬКИЙ ЗАВОД ГУСЕНІЧНИХ ТЯГАЧІВ""",ЗАВОЛЖСЬКИЙ ЗАВОД ГУСЕНІЧНИХ ТЯГАЧІВ,5248031980,Жунін Михайло Володимирович,no_photo.png
92,g21,"АТ НАУКОВО-ВПРОВАДЖУВАЛЬНЕ ПІДПРИЄМСТВО ""ПРОТЕК""",ПРОТЕК,3665017521,Шуваєв Володимир Андрійович,no_photo.png
93,g6783,"ЗАТ ""ЕНІКС""",ЕНІКС,1661009974,Побєжимов Валерій Миколайович,POBEZHIMOV_VALERIJ.jpg
94,g6773,"ПАТ ""ЗАВОД ТУЛА""",ЗАВОД ТУЛА,7104002862,Бухал Віктор Михайлович,no_photo.png
95,g6748,"АТ ""НАУКОВО-ВИРОБНИЧЕ ОБ'ЄДНАННЯ РОСІЙСЬКІ БАЗОВІ ІНФОРМАЦІЙНІ ТЕХНОЛОГІЇ""","НПО ""РУБІСТЕХ""",7726604816,Кабанков Павло Юрійович,no_photo.png
96,g44743,"АТ ""ЛЕНІНГРАДСЬКИЙ СУДНОБУДІВНИЙ ЗАВОД ""ПЕЛЛА""",ПЕЛЛА,4706000296,Цатуров Гарегін Гербертович,CATUROV_GAREGIN.jpg
97,g44751,"ТОВ ""СПЕЦІАЛЬНИЙ ТЕХНОЛОГІЧНИЙ ЦЕНТР""",СПЕЦІАЛЬНИЙ ТЕХНОЛОГІЧНИЙ ЦЕНТР,7802170553,Агафонников Роман Дмитрович,no_photo.png
98,g6806,"АТ ""СХІДНА ВЕРФ""",СХІДНА ВЕРФ,2537009643,Зубахін Олег Вікторович,ZUBAKHIN_Oleg.jpg
99,g6796,"АТ ""ЦЕНТРАЛЬНЕ КОНСТРУКТОРСЬКЕ БЮРО ПО СУДАХ НА ПІДВОДНИХ КРИЛАХ ІМЕНІ Р.Є.АЛЕКСЄЄВА""",ЦЕНТРАЛЬНЕ КОНСТРУКТОРСЬКЕ БЮРО ІМЕНІ Р.Є.АЛЕКСЄЄВА,5263001420 ,Італьянцев Сергій Анатолійович,ITALIANSEV_Sergeii.jpg
