index,level6,level6_4,level5_0,level5,level5_2,level5_3,level5_4,level4_0,level4,level4_2,level4_3,level4_4,level3_0,level3,level3_2,level3_3,level3_4,level2_0,level2,level2_2,level2_3,level2_4,cluster
21,"SAMs  ""Buk-M3""","Buk_M3.jpg
","JSC ""ULYANOVSKIJ MEHANICHESKIJ ZAVOD""",ULYANOVSKIJ MEHANICHESKIJ ZAVOD,7303026762,LAPIN VYACHESLAV VIKTOROVICH,LAPIN_Vyacheslav.jpg,"JSC ""AIRCRAFT DEFENSE CONCERN ""ALMAZ-ANTEI""",ALMAZ-ANTEI,7731084175,NOVIKOV YAN VALENTINOVICH,NOVIKOV_Yan.jpg,FEDERAL AGENCY FOR STATE PROPERTY MANAGEMENT,ROSIMUSHHESTVO,7710723134,YAKOVENKO VADIM VLADIMIROVICH,YAKOVENKO_Vadim.jfif,,,,,,2
22,"SAMs  ""Buk-M2""",Buk_M2.jpg,"JSC ""ULYANOVSKIJ MEHANICHESKIJ ZAVOD""",ULYANOVSKIJ MEHANICHESKIJ ZAVOD,7303026762,LAPIN VYACHESLAV VIKTOROVICH,LAPIN_Vyacheslav.jpg,"JSC ""AIRCRAFT DEFENSE CONCERN ""ALMAZ-ANTEI""",ALMAZ-ANTEI,7731084175,NOVIKOV YAN VALENTINOVICH,NOVIKOV_Yan.jpg,FEDERAL AGENCY FOR STATE PROPERTY MANAGEMENT,ROSIMUSHHESTVO,7710723134,YAKOVENKO VADIM VLADIMIROVICH,YAKOVENKO_Vadim.jfif,,,,,,2
23,"SAMs ""Tunguska""","
2K22M1_Tunguska.jpg","JSC ""ULYANOVSKIJ MEHANICHESKIJ ZAVOD""",ULYANOVSKIJ MEHANICHESKIJ ZAVOD,7303026762,LAPIN VYACHESLAV VIKTOROVICH,LAPIN_Vyacheslav.jpg,"JSC ""AIRCRAFT DEFENSE CONCERN ""ALMAZ-ANTEI""",ALMAZ-ANTEI,7731084175,NOVIKOV YAN VALENTINOVICH,NOVIKOV_Yan.jpg,FEDERAL AGENCY FOR STATE PROPERTY MANAGEMENT,ROSIMUSHHESTVO,7710723134,YAKOVENKO VADIM VLADIMIROVICH,YAKOVENKO_Vadim.jfif,,,,,,2
24,"Rocket ""Tochka-U""",Tochka.jpg,"JSC ""VOTKINSKYI ZAVOD""",VOTKINSKYI ZAVOD,1828020110,CHURBANOV IGOR YURIEVICH,CHURBANOV_Igor.jpg,"JSC CORPOTARION ""MOSKOVSKIJ INSTITUT TEPLOTEHNIKI""",MOSKOVSKIJ INSTITUT TEPLOTEHNIKI,7715842760,PONOMAREV SERGEY ALEKSEEVICH,no_photo.png,"STATE CORPORATION FOR SPACE ACTIVITIES ""ROSKOSMOS""",ROSKOSMOS,7702388027,ROGOZIN DMITRY OLEGOVICH before 15.07.2022,ROGOZIN_Dmitry.jpg,,,,,,2
25,"TOS-1A ""Solntsepek""",220mm_TOS-1A.jpg,"JSC ""SCIENTIFIC AND PRODUCTION ASSOCIATION ""SPLAV"" NAMED AFTER A.N. GANICHEV""",SPLAV,7105515987,SMIRNOV ALEXANDER VLADIMIROVICH,SMIRNOV_Alexander.jpg,"JSC ""SCIENTIFIC AND PRODUCTION CONCERN ""TEHNOLOGII MASHINOSTROENIYA""",TEHNOLOGII MASHINOSTROENIYA,7743813961,KOCHKIN ALEXANDER VIKTOROVICH,KOCHKIN_Alexander.jpg,"JSC ""TEHNODINAMIKA"" ",TEHNODINAMIKA,7719265496,NASENKOV IGOR GEORGIEVICH,NASENKOV_Igor.jpg,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
26,"Rockets ""Iskander"" ",iskander.jpg,"JSC ""RESEARCH AND PRODUCTION CORPORATION
""KONSTRUKTORSKOYE BYURO MASHYNOSTROYENIYA""",KONSTRUKTORSKOYE BYURO MASHYNOSTROYENIYA,5022039177,PITIKOV SERGEJ VIKTOROVICH,PITIKOV_Sergey.jpg,"JSC RESEARCH AND PRODUCTION ASSOCIATION ""VYSOKOTOCHNYE KOMPLEKSY""",VYSOKOTOCHNYE KOMPLEKSY,7704721192,DENISOV ALEXANDER VLADIMIROVICH,DENISOV_Alexander.jpg,,,,,,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
27,"ATGM ""Kornet-T""
","
Kornet.jpg","JSC ""INSTRUMENT DESIGN BYURO NAMED AFTER ACADEMIC A. G. SHIPUNOV""",KONSTRUKTORSKOE BYURO PRIBOROSTROENIYA,7105514574,KONOPLEV DMITRIJ VLADIMIROVICH before 22.07.2022,Konoplev_Dmitrij.jpg,"JSC RESEARCH AND PRODUCTION ASSOCIATION ""VYSOKOTOCHNYE KOMPLEKSY""",VYSOKOTOCHNYE KOMPLEKSY,7704721192,DENISOV ALEXANDER VLADIMIROVICH,DENISOV_Alexander.jpg,,,,,,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
28,"SAMs ""Pantsir-S1""","Pantsir_S1.jpg
","JSC ""INSTRUMENT DESIGN BYURO NAMED AFTER ACADEMIC A. G. SHIPUNOV""",KONSTRUKTORSKOE BYURO PRIBOROSTROENIYA,7105514574,KONOPLEV DMITRIJ VLADIMIROVICH before 22.07.2022,Konoplev_Dmitrij.jpg,"JSC RESEARCH AND PRODUCTION ASSOCIATION ""VYSOKOTOCHNYE KOMPLEKSY""",VYSOKOTOCHNYE KOMPLEKSY,7704721192,DENISOV ALEXANDER VLADIMIROVICH,DENISOV_Alexander.jpg,,,,,,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
29,"SAM ""Strela-10""",9K35_Strela-10.jpg,"JSC ""DESIGN BYURO OF PRECISION ENGINEERING NAMED AFTER A.E. NUDELMAN""",KONSTRUKTORSKOE BYURO TOCHNOGO MASHINOSTROENIYA,7728789425,IBRAGIMOV DMITRIJ MARATOVICH,IBRAGIMOV_DMITRIJ.jpg,"JSC RESEARCH AND PRODUCTION ASSOCIATION ""VYSOKOTOCHNYE KOMPLEKSY""",VYSOKOTOCHNYE KOMPLEKSY,7704721192,DENISOV ALEXANDER VLADIMIROVICH,DENISOV_Alexander.jpg,,,,,,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
30,IFV BMP-3,"
BMP-3.jpg","PJSC ""KURGANSKIJ MASHINOSTROITELNYJ ZAVOD""",KURGANMASHZAVOD,4501008142,TYUKOV PETR ALEKSANDROVICH,Tyukov_Petr.jpg,"JSC RESEARCH AND PRODUCTION ASSOCIATION ""VYSOKOTOCHNYE KOMPLEKSY""",VYSOKOTOCHNYE KOMPLEKSY,7704721192,DENISOV ALEXANDER VLADIMIROVICH,DENISOV_Alexander.jpg,,,,,,"STATE CORPORATION ""ROSTEH""",ROSTEH,7704274402,CHEMEZOV SERGEY VIKTOROVICH,CHEMEZOV_Sergey.jpg,1
